,label
1,15
4,8
5,16
7,12
8,6
9,14
10,16
11,14
12,12
13,15
14,12
15,3
17,11
19,8
20,6
21,13
25,15
26,13
27,13
29,12
30,3
31,12
34,17
35,16
36,4
44,15
45,8
46,17
50,15
51,2
52,15
53,5
54,12
56,15
57,13
58,12
59,4
60,4
63,5
69,7
70,4
72,12
75,15
77.2,3
78,12
80,0
81,15
83,12
85,17
87,14
89,7
90,14
91,13
92,15
93,5
94,13
95,13
96,13
97,8
98,13
100,13
101,13
102,13
103,13
105,13
106,17
107,0
109,14
110,17
111,5
112,12
114,13
115,14
116,17
119,0
121,2
122,8
123,14
124,5
126,17
127,15
128,13
129,12
131,2
17182,2
17183,0
17184,15
17185,6
17188,0
17189,17
17190,0
17191,15
17192,9
17193,6
17194,17
17195,17
17196,5
17197,9
17198,9
17199,17
17200,12
17201,2
17202,13
23734,3
23735,4
23736,4
19414,10
19415,17
19416,9
21973,2
21975,1
21976,14
21978,1
21979,12
21981,0
21982,0
21984,3
21985,7
21986,6
21987,5
21988,15
21989,6
21990,16
21991,12
21992,2
21993,13
21994,3
21995,15
21996,13
21997,16
21998,12
21999,1
22000,1
22001,5
22003,12
22004,16
22006,4
22007,12
22008,17
22009,6
22010,3
22011,15
22012,1
22014,1
22015,0
22016,17
22017,13
22020,11
22022,2
22817,0
22819,10
22822,13
23738,6
23739,10
23740,7
23741,17
22820,15
23742,15
23743,0
23744,1
23745,12
23746,12
23747,13
23748,10
23749,10
23750,4
23751,13
23752,6
